Protein1,Protein2
P10905,P0AFR7
P10905,P77716
P0AG80,P0AEX9
P22731,P31548
P22731,P36879
P22731,P07821
P22731,P37009
P22731,Q47538
P22731,P77279
P22731,P0A9T8
P22731,P23878
P22731,P0AAG3
P22731,P10346
P22731,P0AAF6
P22731,P0AAI1
P22731,P75957
P22731,P76027
P22731,P0AAH8
P22731,P77795
P22731,P77622
P22731,P77268
P22731,P06611
P22731,P76909
P22731,P0A9X1
P22731,P37774
P22731,P33360
P22731,P07109
P22731,P16676
P22731,P63386
P22731,P0A9V1
P22731,P45769
P22731,P0A9S7
P22731,P0A9R7
P22731,P33594
P22731,P0AAH0
P22731,P16678
P22731,P16677
P22731,P15031
P0A9S7,P31548
P0A9S7,P36879
P0A9S7,P07821
P0A9S7,P30750
P0A9S7,P37009
P0A9S7,Q47538
P0A9S7,P77279
P0A9S7,P0A9T8
P0A9S7,P23878
P0A9S7,P0AAG3
P0A9S7,P10346
P0A9S7,P0AAF6
P0A9S7,P0AAI1
P0A9S7,P75957
P0A9S7,P76027
P0A9S7,P77737
P0A9S7,P0AAH8
P0A9S7,P0AAH4
P0A9S7,P77795
P0A9S7,P77622
P0A9S7,P77268
P0A9S7,P77499
P0A9S7,P06611
P0A9S7,P76909
P0A9S7,P0A9X1
P0A9S7,P37774
P0A9S7,P33360
P0A9S7,P07109
P0A9S7,P16676
P0A9S7,P63386
P0A9S7,P0A9V1
P0A9S7,P45769
P0A9S7,P22731
P0A9S7,P0A9R7
P0A9S7,P33594
P0A9S7,P37313
P0A9S7,P0AAG0
P0A9S7,P0AAH0
P0A9S7,P16679
P0A9S7,P16678
P0A9S7,P16677
P0A9S7,P15031
P22729,P0AEX7
P0AEX7,P22729
P04816,P0AD96
P0AD96,P04816
P0AGB3,P13445
P0A9R7,P31548
P0A9R7,P36879
P0A9R7,P07821
P0A9R7,P30750
P0A9R7,Q47538
P0A9R7,P77279
P0A9R7,P0A9T8
P0A9R7,P23878
P0A9R7,P0AAG3
P0A9R7,P10346
P0A9R7,P0AAF6
P0A9R7,P0AAI1
P0A9R7,P75957
P0A9R7,P76027
P0A9R7,P0AAH8
P0A9R7,P77622
P0A9R7,P77268
P0A9R7,P06611
P0A9R7,P76909
P0A9R7,P0A9X1
P0A9R7,P37774
P0A9R7,P33360
P0A9R7,P33931
P0A9R7,P07109
P0A9R7,P63386
P0A9R7,P0A9V1
P0A9R7,P45769
P0A9R7,P22731
P0A9R7,P0A9S7
P0A9R7,P33593
P0A9R7,P33594
P0A9R7,P0AAG0
P0A9R7,P0AAH0
P0A9R7,P16679
P0A9R7,P16678
P0A9R7,P16677
P0A9R7,P15031
P37617,Q59385
P37617,P03960
P37617,P0ABB8
P37621,P77549
P37621,P39386
P0AGM0,P0AFS5
P0AGM0,P0AFI9
P33590,P75797
P33590,P23843
P33590,Q47622
P33590,P77348
P33590,P76128
P33590,P33913
P33590,Q46863
P33590,P23847
P33591,P75798
P33591,P0AFH2
P33591,P0AGH3
P33591,P77308
P33591,P0AFU0
P33591,P0AEF8
P0AFA9,P75799
P0AFA9,P0AFH6
P0AFA9,P0AGH5
P0AFA9,P77463
P0AFA9,P33915
P0AFA9,P0AEG1
P33593,P31548
P33593,P36879
P33593,P07821
P33593,P30750
P33593,P37009
P33593,Q47538
P33593,P0A9T8
P33593,P23878
P33593,P0AAG3
P33593,P10346
P33593,P31134
P33593,P0AAF6
P33593,P0AAI1
P33593,P75957
P33593,P76027
P33593,P77737
P33593,P0AAH8
P33593,P0AAH4
P33593,P77795
P33593,P77622
P33593,P77268
P33593,P0A9X1
P33593,P37774
P33593,P33360
P33593,P07109
P33593,P63386
P33593,P45769
P33593,P0A9R7
P33593,P33594
P33593,P37313
P33593,P0AAG0
P33593,P0AAH0
P33593,P16678
P33593,P15031
P33594,P31548
P33594,P36879
P33594,P07821
P33594,P30750
P33594,Q47538
P33594,P77279
P33594,P0A9T8
P33594,P23878
P33594,P0AAG3
P33594,P10346
P33594,P0AAF6
P33594,P0AAI1
P33594,P75957
P33594,P76027
P33594,P77737
P33594,P0AAH8
P33594,P0AAH4
P33594,P77622
P33594,P77268
P33594,P06611
P33594,P76909
P33594,P0A9X1
P33594,P37774
P33594,P33360
P33594,P07109
P33594,P63386
P33594,P0A9V1
P33594,P45769
P33594,P22731
P33594,P0A9S7
P33594,P0A9R7
P33594,P33593
P33594,P37313
P33594,P0AAG0
P33594,P0AAH0
P33594,P16679
P33594,P16678
P33594,P16677
P33594,P15031
P16917,P16919
P16917,P16918
P16917,P16916
P28912,P28916
P28912,P28917
P0AGH1,P0AFP9
P0AGH1,P0AFQ2
P37626,P75777
P37626,P52599
P37626,P27303
P37626,P32716
P0AFJ7,P43676
P36837,P75742
P36837,P77304
P36837,P39276
P27298,P24171
P06715,P0A9P0
P06715,P77212
P06715,P27306
P0AB93,P75788
P0AB96,P76569
P0CE58,P0CE49
P0CE58,P0CE50
P0CE58,P0CE51
P0CE58,P0CE52
P0CE58,P76071
P0CE58,P0CE53
P0CE58,P0CE54
P0CE58,P0CE55
P0CE58,P0CE56
P0CE58,P0CE57
P37194,P0AA91
P37636,P0AE06
P37636,P75830
P37636,P76397
P37636,P24180
P37637,P31224
P37637,P38054
P37637,P76398
P37637,P76399
P37637,P24177
P37637,P24181
P69908,P69910
P62601,P13482
P37641,P30864
P37641,Q57083
P37641,P75836
P37641,P77333
P37641,P76250
P37641,P0ACR4
P37641,P0A9F6
P37641,P45463
P37641,P67662
P37641,P0A9F9
P37642,P0A8K8
P37643,P77589
P37643,P38055
P37643,P76350
P37643,P0AEX3
P37643,Q46916
P37643,P0AA80
P37643,P41036
P37643,P0C0L7
P37643,P39352
P37643,P39398
P37647,P77493
P37647,P0A9J6
P0A830,P77529
P0A830,P0AGE4
P0A830,P21345
P37649,P77334
P37649,P13518
P37660,P42628
P37313,P36879
P37313,P07821
P37313,P30750
P37313,P37009
P37313,P0A9T8
P37313,P23878
P37313,P0AAG3
P37313,P10346
P37313,P31134
P37313,P0AAF6
P37313,P76027
P37313,P77737
P37313,P0AAH8
P37313,P0AAH4
P37313,P77795
P37313,P77622
P37313,P77268
P37313,P37774
P37313,P33360
P37313,P07109
P37313,P63386
P37313,P0A9V1
P37313,P45769
P37313,P10907
P37313,P0A9S7
P37313,P33593
P37313,P33594
P37313,P0AAG0
P37313,P0AAH0
P37313,P16678
P37313,P16677
P37313,P15031
P0AAG0,P31548
P0AAG0,P36879
P0AAG0,P07821
P0AAG0,P30750
P0AAG0,P37009
P0AAG0,Q47538
P0AAG0,P0A9T8
P0AAG0,P0AAG3
P0AAG0,P10346
P0AAG0,P0AAF6
P0AAG0,P0AAI1
P0AAG0,P75957
P0AAG0,P76027
P0AAG0,P77737
P0AAG0,P0AAH8
P0AAG0,P0AAH4
P0AAG0,P77795
P0AAG0,P77622
P0AAG0,P77268
P0AAG0,P37774
P0AAG0,P33360
P0AAG0,P07109
P0AAG0,P63386
P0AAG0,P0A9V1
P0AAG0,P45769
P0AAG0,P10907
P0AAG0,P0A9S7
P0AAG0,P0A9R7
P0AAG0,P33593
P0AAG0,P33594
P0AAG0,P37313
P0AAG0,P0AAH0
P0AAG0,P16678
P0AAG0,P16677
P0AEG1,P75799
P0AEG1,P0AFH6
P0AEG1,P0AGH5
P0AEG1,P77463
P0AEG1,P33915
P0AEG1,P0AFA9
P0AEF8,P75798
P0AEF8,P0AFH2
P0AEF8,P0AGH3
P0AEF8,P77308
P0AEF8,P0AFU0
P0AEF8,P33591
P23847,P75797
P23847,P23843
P23847,Q47622
P23847,P77348
P23847,P76128
P23847,Q46863
P23847,P33590
P37661,P0CB39
P37661,P30845
P37662,P39352
P37664,P09163
P20099,P18775
P20099,P33225
P20099,P77374
P20099,P77783
P20099,P46923
P20099,P07658
P37666,P52643
P37666,P0A9T0
P0A9X9,P0A972
P0A9X9,P0A968
P0A9X9,P0A978
P0A9X9,P0A986
P0A9X9,P36995
P0A9X9,P0A9Y6
P19769,P0CF79
P19769,P0CF53
P19769,P0CF80
P19769,P0CF81
P19769,P0CF82
P19769,P0CF54
P19769,P0CF55
P19769,P0CF83
P19769,P0CF56
P19769,P0CF57
P19769,P0CF58
P09099,P77432
P09099,P55138
P09099,P11553
P09099,P37677
P09099,P0A6F3
P37387,P0AEE5
P37387,P02925
P37387,P39265
P37388,P31060
P37388,P0A9U1
P37388,P75796
P37388,P43672
P37388,P77257
P37388,P0AAF3
P37388,P0AAG8
P37388,P33916
P37388,P77509
P37388,P04983
P37388,P32721
P37388,Q6BEX0
P37388,P0A9W3
P0AGI4,P77672
P0AGI4,P0AFS1
P0AGI4,P0AE26
P0AGI4,P23200
P0AGI4,P77315
P0AGI4,P0AGI1
P0AGI4,P32720
P0AGI4,P39328
P0AGI4,P37772
P56256,P18776
P56256,P0AAJ1
P56256,P77375
P56256,P0AAL6
P56256,P23481
P56256,P0AAK4
P56256,P0AAK1
P56256,Q46819
P56256,P0AAK7
P37671,P77300
P37671,P0ACN4
P37671,P76268
P37671,P77732
P37671,P16528
P37671,P39360
P37672,P77555
P37672,P30178
P37673,P45424
P37673,P0AF96
P37677,P08204
P37677,P77432
P37677,P55138
P37677,P11553
P37677,P09099
P37677,P0A6F3
P37678,P39304
P37679,P39305
P37680,P08203
P37680,P39306
P37681,P0A908
P37683,P0AFV0
P37683,P32716
P0ADK4,P32108
P37685,P17445
P37685,P23883
P37685,P80668
P37685,P25553
P37685,P77674
P37685,P76149
P37685,P76217
P37685,P25526
P37686,P76553
P37686,P0A9S1
P37686,Q46856
P16916,P16919
P16916,P16918
P16916,P16917
P0AFV0,P46482
P0AFV0,P37683
P0AFV0,P32716
P32108,P0ADK4
P00550,P69826
P33231,Q46839
P0ACL7,P0ACL9
P0ACL7,P0ACL5
P0ACL7,P0ACL2
P0ACL7,P0A8W0
P0ACL7,P31460
P0ACL7,P31475
P0ACL7,P39161
P07913,P75691
P07913,P25437
P07913,P77316
P07913,P39451
P07913,P38105
P07913,P77280
P07913,P77539
P07913,P0A9S3
P07913,P77360
P07913,P39346
P07913,P27250
P07913,P39400
P0AB77,P12998
P67910,P27830
P37692,P25742
P27129,P27128
P27128,P27129
P25742,P37692
P05523,P50465
P25531,Q47685
P25531,P52140
P0AGM2,P0AFP0
P0AG24,P0AG20
P0AGJ2,P63177
P0AGM9,P77328
P0AGM9,P75892
P0AGM9,P0AGM7
P0AGM9,P67444
P0AGM9,Q46821
P31434,P32138
P31435,P75683
P31435,P0CE44
P31435,P32136
P31435,P32137
P31435,P02921
P31436,P31675
P31436,P33026
P31437,P0AA67
P31437,P31125
P31437,P0AA70
P31437,P0AA73
P31437,P0ABT8
P04846,P28635
P0ADL1,P77589
P0ADL1,P23910
P0ADL1,P31122
P0ADL1,P43531
P0ADL1,P77389
P0ADL1,P36554
P0ADL1,P28246
P0ADL1,P39352
P31440,Q46817
P31440,P31466
P31440,P0AF52
P0AGC0,P08194
P0AGC0,P09836
P0AGC0,P0AA76
P0AGC0,P39398
P09836,P08194
P09836,P76470
P09836,Q46916
P09836,P0AA78
P09836,P0AA80
P09836,P0AGC0
P09836,P0AA76
P09836,P39352
P09836,P39381
P09836,P39398
P0AGA6,P0AEL8
P0AGA6,P0AF28
P0AGA6,P0AED5
P0AGA6,P31802
P0AGA6,P0DMC7
P0AGA6,P0ACZ4
P08142,P00893
P08142,P0AEP7
P08142,P07003
P08142,P0AFI0
P31442,P23910
P31442,P77726
P31442,P0AEY8
P31442,P31122
P31442,P43531
P31442,P37597
P31442,P28246
P31442,P31462
P31442,P39386
P31447,P77318
P31448,P07117
P31448,P16256
P31448,P32705
P31453,P13669
P31453,P0ACM5
P31453,P45544
P31453,P16684
P60872,P60869
P0C058,P0C054
P0C054,P0C058
P0AA76,P77589
P0AA76,P08194
P0AA76,P76470
P0AA76,Q46916
P0AA76,P0AA78
P0AA76,P0AA80
P0AA76,P0AGC0
P0AA76,P09836
P0AA76,P39352
P0AA76,P39398
Q6BF17,P51981
Q6BF17,P38104
Q6BF17,P77215
Q6BF16,P0A955
P31460,P0ACL9
P31460,P76114
P31460,P0ACM2
P31460,P0ACL5
P31460,P0ACL2
P31460,P0A8W0
P31460,P0ACL7
P31460,P31475
P31460,P39161
P0A8Y5,P46891
P0A8Y5,P21829
P0A8Y5,P75792
P0A8Y5,P75809
P0A8Y5,P27848
P0AES6,P20083
P23173,P0AAD4
P23173,P0AAD2
P31462,P77589
P31462,P0AEY8
P31462,P43531
P31462,P37597
P31462,P76269
P31462,P28246
P31462,P31442
P31462,P39386
P31463,P10151
P31463,P77746
P31463,P30979
P31466,Q46817
P31466,P31440
P31466,P0AF52
P31467,P77247
P31467,P77625
P31467,P77475
P31470,P0A759
P31470,P42912
P11988,P24240
P11988,Q46829
P08722,P77272
P08722,P24241
P08722,P36672
P0AAH0,P31548
P0AAH0,P36879
P0AAH0,P07821
P0AAH0,P30750
P0AAH0,P37009
P0AAH0,Q47538
P0AAH0,P77279
P0AAH0,P0A9T8
P0AAH0,P23878
P0AAH0,P0AAG3
P0AAH0,P10346
P0AAH0,P31134
P0AAH0,P0AAF6
P0AAH0,P0AAI1
P0AAH0,P75957
P0AAH0,P76027
P0AAH0,P77737
P0AAH0,P0AAH8
P0AAH0,P0AAH4
P0AAH0,P77795
P0AAH0,P77622
P0AAH0,P77268
P0AAH0,P76909
P0AAH0,P0A9X1
P0AAH0,P37774
P0AAH0,P33360
P0AAH0,P07109
P0AAH0,P16676
P0AAH0,P63386
P0AAH0,P0A9V1
P0AAH0,P45769
P0AAH0,P10907
P0AAH0,P22731
P0AAH0,P0A9S7
P0AAH0,P0A9R7
P0AAH0,P33593
P0AAH0,P33594
P0AAH0,P37313
P0AAH0,P0AAG0
P0AAH0,P68187
P0AAH0,P16678
P0AAH0,P16677
P0AAH0,P15031
P07654,P16701
P07654,P0AGH8
P0AGH8,P07654
P0ACC7,P0A6V1
P0ACC7,P61887
P0ABB4,P52612
P0ABB4,P0ABB0
P0ABB0,P52612
P0ABB0,P0ABB4
P03817,P65367
P0ACI6,P0ACJ5
P0ACI6,P0ACJ0
P04983,P31060
P04983,P0A9U1
P04983,P0A9U3
P04983,P75796
P04983,P43672
P04983,P77257
P04983,P0AAF3
P04983,P0AAG8
P04983,P33916
P04983,P77509
P04983,P63389
P04983,P37388
P04983,P32721
P04983,Q6BEX0
P04983,P0A9W3
P0AGI1,P77672
P0AGI1,P0AFS1
P0AGI1,P0AE26
P0AGI1,P23200
P0AGI1,P77315
P0AGI1,P0AGI4
P0AGI1,P32720
P0AGI1,P39328
P0AGI1,P37772
P02925,P0AEE5
P02925,P37387
P02925,P39265
P02925,P39325
P0A9J6,P77493
P0A9J6,P76419
P0A9J6,P33020
P0A9J6,P30235
P0A9J6,P45543
P0A9J6,P37647
P0A9J6,P32143
P0ACQ0,P0ACP1
P0ACQ0,P03023
P0ACQ0,P77615
P0ACQ0,P18811
P0ACQ0,P0ACP7
P0ACQ0,P25748
P0ACQ0,P24242
P0ACQ0,P03024
P0ACQ0,P06846
P0ACQ0,P0ACP5
P0ACQ0,P0ACN7
P0ACQ0,P36673
P0ACQ0,P39343
P31474,P76269
P31474,P36554
P31474,P52600
P31474,P0AEJ0
P31475,P0ACM2
P31475,P0ACL7
P31475,P31460
P05791,P77596
P05791,P0ADF6
P05791,P39358
P04968,P0AGF6
P05827,P27111
P05827,P52696
P05827,P0A9F3
P05827,P77171
P05827,P77309
P05827,P77559
P05827,Q47083
P05827,Q47005
P05827,P0ACR4
P05827,P23841
P05827,P0ACR7
P05827,Q47141
P05827,P03030
P05827,P0A9F9
P05827,P0ACQ4
P05827,P39376
P09980,P03018
P25552,P0AFL6
P0A8J8,P25888
P0A8J8,P21693
P0A8J8,P21507
P0A8J8,P0A9P6
P0AA25,P0AGG4
P0AG00,P26266
P0AG00,P76372
P27829,P76373
P27830,P09147
P27830,P37759
P27830,P0AC88
P27830,P67910
P61887,P0AEP3
P61887,P37744
P61887,P0A6V1
P61887,P0ACC7
P27833,P77690
P0AAA7,P77377
P27837,P15993
P27837,Q47689
P27837,P0AAE2
P27837,P77400
P27837,P24207
P27837,P0AAF1
P27837,P76037
P27837,P77610
P27837,P0AA47
P27837,P25737
P27837,P25527
P27837,P45539
P27837,P60061
P27837,P0AAE8
P27837,P0AAE0
P25550,P76134
P25549,P77318
P0A8P6,P0A8P8
P0A8P6,P0ADH5
P03018,P09980
P0AG38,P75693
P0AG38,P76249
P0AG38,P0AG34
P0AG34,P75693
P0AG34,P76249
P0AG34,P38101
P0AG34,P0AG38
P27848,P46891
P27848,P21829
P27848,P75792
P27848,P75809
P27848,P0A8Y5
P0A9F9,Q57083
P0A9F9,P27111
P0A9F9,P52696
P0A9F9,P0A9F3
P0A9F9,P77171
P0A9F9,P77309
P0A9F9,P77559
P0A9F9,Q47083
P0A9F9,P0ACR4
P0A9F9,P46068
P0A9F9,P23841
P0A9F9,P0ACR7
P0A9F9,Q47141
P0A9F9,P03030
P0A9F9,P37641
P0A9F9,P05827
P0A9F9,P0ACQ4
P12758,P0ABP8
P69428,P0A843
P27859,P0AFQ7
P27859,P39408
P21151,P0C7L2
P21151,P76461
P21151,P76503
P21151,Q46939
P21177,P77399
P0AFZ7,P23849
P32128,P77804
P0AFB8,P37344
P0AFB8,Q06065
P0AFB8,P0AFU4
P0AFB8,P14375
P0AFB5,P08400
P0DTT0,P0A6M8
P0ACM9,P45544
P32135,P77031
P32136,P75683
P32136,P0CE44
P32136,P31435
P32136,P32137
P32136,P02921
P32137,P75683
P32137,P0CE44
P32137,P31435
P32137,P32136
P32137,P02921
P32138,P31434
P0A9V8,P77161
P0A9V8,Q46888
P0A9V8,P0ABQ2
P32143,P77493
P32143,P45543
P32143,P0A9J6
P32144,P0ACK5
P32144,P76034
P32144,P77721
P32144,P15082
P32144,P52598
P32144,P0ACK8
P32144,P0ACK2
P32144,P0A9W0
P32144,P39361
P0A8K8,P37642
P0AEL0,P0AEK7
P0AAJ5,P0AAJ3
P32176,P24183
P32153,P77585
P32153,P39366
P32154,P54745
P32154,P20966
P32155,P69829
P09377,P0A9E0
P09377,P77402
P09377,P09378
P09377,P0ACH8
P09378,P0A9E0
P09378,P77396
P09378,P09377
P09378,P0ACH8
P00448,P0AGD3
P0AE82,P77485
P0AE82,P18392
P0AE82,P76339
P0AE82,P30847
P0AE82,P40719
P0AE82,P0AEJ4
P0AE82,P30844
P0AE82,P08401
P0AE88,P0AFJ5
P0AE88,P0ACZ8
P0AE88,P21866
P0AE88,P38684
P0AE88,P23836
P0AE88,P52108
P0AE88,P76340
P0AE88,P69228
P0AE88,P52076
P0AE88,P0AA16
P0AE88,P30843
P0AE88,P08368
P0AE88,P0A9Q1
P69380,P75757
P0AG78,P16700
P32162,P0AD33
P0AAB8,P46888
P28861,P76081
P0A9C9,P21437
P0A6F3,P77432
P0A6F3,P55138
P0A6F3,P11553
P0A6F3,P09099
P0A6F3,P37677
P0AER0,P60844
P0A6H5,P0A6H1
P0ACN7,P0ACP1
P0ACN7,P03023
P0ACN7,P77615
P0ACN7,P18811
P0ACN7,P0ACP7
P0ACN7,P25748
P0ACN7,P24242
P0ACN7,P03024
P0ACN7,P06846
P0ACN7,P0ACP5
P0ACN7,P0ACQ0
P0ACN7,P36673
P0ACN7,P39343
P0A7M9,P0A7N1
P00935,P06721
P00562,P00561
P0ABT8,P31125
P0ABT8,P0AA70
P0ABT8,P31437
P0ABT8,P39314
P0A9S5,P45579
P32669,P78055
P32670,P77439
P32672,P77579
P69816,P69808
P69816,P32676
P32674,P75793
P32675,P75794
P32675,P0A9N4
P32675,P39409
P32676,P69808
P32676,P69816
P32677,P77396
P0CB39,P42640
P0CB39,P37661
P0CB39,P30845
P23908,P0AED7
P23908,P65807
P0A6C8,P0A6C5
P0ACQ4,P30864
P0ACQ4,P27111
P0ACQ4,P52696
P0ACQ4,P0A9F3
P0ACQ4,P77171
P0ACQ4,P77309
P0ACQ4,P77559
P0ACQ4,Q47083
P0ACQ4,Q47005
P0ACQ4,P0ACR4
P0ACQ4,P36771
P0ACQ4,P23841
P0ACQ4,P0ACR7
P0ACQ4,Q47141
P0ACQ4,P33634
P0ACQ4,P03030
P0ACQ4,P0ACQ7
P0ACQ4,P05827
P0ACQ4,P0A9F9
P27306,P0A9P0
P27306,P77212
P27306,P06715
P06129,P05825
P06129,P17315
P06129,P13036
P0CE48,P23845
P0CE48,P0CE47
P30138,P12282
P0ACF0,P0ACF4
P0ACF0,P0A6Y1
P0ACF0,P0A6X7
P14375,Q06065
P14375,P0AFU4
P14375,P0AFB8
P09163,P37664
P16528,P77300
P16528,P77569
P16528,P0ACN4
P16528,P76268
P16528,P77732
P16528,P37671
P16528,P39360
P32684,P75966
P32684,P37765
P32684,P0AA43
P32687,P75884
P32688,P75883
P32689,P75882
P0AGF4,P31679
P0AGF4,P77589
P0AGF4,P38055
P0AGF4,P76230
P0AGF4,Q46909
P0AGF4,P0AE24
P0AGF4,P0AEP1
P68183,P77716
P68183,P10906
P0AEX9,P0AG80
P68187,P30750
P68187,P37009
P68187,P10346
P68187,P31134
P68187,P69874
P68187,P76027
P68187,P0AAH8
P68187,P77795
P68187,P33360
P68187,P07109
P68187,P16676
P68187,P45769
P68187,P10907
P68187,P0AAH0
P28303,P37340
P28303,P76352
P32695,P33371
P32695,P0ABT5
P28304,P39451
P28304,P38105
P28304,P77280
P28304,P26646
P0A6B4,P29012
P04693,P00509
P0AF50,P0AAT2
P32701,P77473
P0A9E2,P0ACH5
P0AF52,Q46817
P0AF52,P31440
P0AF52,P31466
P32703,P76007
P32705,P07117
P32705,P16256
P32705,P31448
P27550,P31552
P27550,P77495
P27550,P10378
P27550,P38135
P27550,P69451
P0AAK7,P18776
P0AAK7,P0AAJ1
P0AAK7,P77375
P0AAK7,P0AAL6
P0AAK7,P23481
P0AAK7,P0AAK4
P0AAK7,P0AAK1
P0AAK7,Q46819
P0AAK7,P0AAJ8
P0AAK7,P56256
P32710,P33927
P21345,P77529
P21345,P0AGE4
P21345,P0A830
P07658,P18775
P07658,P33225
P07658,P77374
P07658,P77783
P07658,P46923
P07658,P33937
P07658,P20099
P32714,P77211
P32714,P02930
P32716,P75777
P32716,P76185
P32716,P52599
P32716,P27303
P32716,P46482
P32716,P24180
P32716,P37626
P32716,P37683
P32716,P0AFV0
P32718,P23917
P32718,P75959
P32718,P45425
P32719,P0AG07
P32719,P39362
P32720,P77672
P32720,P0AFS1
P32720,P0AE26
P32720,P23200
P32720,P77315
P32720,P0AGI4
P32720,P0AGI1
P32720,P39328
P32720,P37772
P32721,P31060
P32721,P0A9U1
P32721,P75796
P32721,P43672
P32721,P77257
P32721,P0AAF3
P32721,P0AAG8
P32721,P33916
P32721,P77509
P32721,P37388
P32721,P04983
P32721,Q6BEX0
P32721,P0A9W3
P39265,P0AEE5
P39265,P77269
P39265,P37387
P39265,P02925
P39265,P39325
P0ACS7,P46118
P0ACS7,P77245
P0ACS7,P37767
P16679,P31548
P16679,P07821
P16679,Q47538
P16679,P77279
P16679,P0A9T8
P16679,P0AAG3
P16679,P10346
P16679,P0AAF6
P16679,P0AAI1
P16679,P75957
P16679,P76909
P16679,P37774
P16679,P33360
P16679,P33931
P16679,P07109
P16679,P63386
P16679,P45769
P16679,P0A9S7
P16679,P0A9R7
P16679,P33594
P16679,P16678
P16679,P16677
P16679,P15031
P16678,P31548
P16678,P36879
P16678,P07821
P16678,P30750
P16678,P37009
P16678,Q47538
P16678,P77279
P16678,P0A9T8
P16678,P23878
P16678,P0AAG3
P16678,P10346
P16678,P31134
P16678,P0AAF6
P16678,P0AAI1
P16678,P75957
P16678,P69874
P16678,P76027
P16678,P77737
P16678,P0AAH8
P16678,P0AAH4
P16678,P77795
P16678,P77622
P16678,P77268
P16678,P06611
P16678,P76909
P16678,P0A9X1
P16678,P37774
P16678,P33360
P16678,P33931
P16678,P07109
P16678,P16676
P16678,P63386
P16678,P0A9V1
P16678,P45769
P16678,P22731
P16678,P0A9S7
P16678,P0A9R7
P16678,P33593
P16678,P33594
P16678,P37313
P16678,P0AAG0
P16678,P0AAH0
P16678,P16679
P16678,P16677
P16678,P15031
P16684,P13669
P16684,P0ACM5
P16684,P45544
P16684,P31453
P16677,P31548
P16677,P36879
P16677,P07821
P16677,P30750
P16677,P37009
P16677,Q47538
P16677,P77279
P16677,P0A9T8
P16677,P23878
P16677,P0AAG3
P16677,P10346
P16677,P0AAF6
P16677,P0AAI1
P16677,P75957
P16677,P76027
P16677,P77737
P16677,P0AAH8
P16677,P0AAH4
P16677,P77795
P16677,P77622
P16677,P77268
P16677,P06611
P16677,P76909
P16677,P0A9X1
P16677,P37774
P16677,P33360
P16677,P33931
P16677,P07109
P16677,P63386
P16677,P0A9V1
P16677,P45769
P16677,P22731
P16677,P0A9S7
P16677,P0A9R7
P16677,P33594
P16677,P37313
P16677,P0AAG0
P16677,P0AAH0
P16677,P16679
P16677,P16678
P16677,P15031
P0C0L7,P77589
P0C0L7,P38055
P0C0L7,P76230
P0C0L7,P76350
P0C0L7,P0AEX3
P0C0L7,Q46909
P0C0L7,P41036
P0C0L7,P37643
P0C0L7,P39352
P30844,P76339
P30844,P30847
P30844,P40719
P30844,P0AE82
P30844,P08401
P30843,P0AFJ5
P30843,P0ACZ8
P30843,P21866
P30843,P38684
P30843,P23836
P30843,P52108
P30843,P76340
P30843,P69228
P30843,P52076
P30843,P0AA16
P30843,P0AE88
P30843,P08368
P30843,P0A9Q1
P30845,P42640
P30845,P37661
P30845,P0CB39
P60061,P15993
P60061,Q47689
P60061,P0AAE2
P60061,P77400
P60061,P24207
P60061,P0AAF1
P60061,P76037
P60061,P77610
P60061,P63235
P60061,P0AAE5
P60061,P0AA47
P60061,P25737
P60061,P25527
P60061,P45539
P60061,P27837
P60061,P0AAE8
P60061,P39277
P60061,P0AAE0
P33234,P10805
P28629,P52095
P28629,P24169
P28629,P21169
P28629,P0A9H3
P0ACH8,P77402
P0ACH8,P09377
P0ACH8,P09378
P06720,P17411
P02921,P75683
P02921,P0CE44
P02921,P31435
P02921,P32136
P02921,P32137
P14407,P0AC33
P0ABN9,P0ABN5
P0AD01,P0AEF4
P0AEC8,P77510
P64646,P64453
P0A8N5,P0A8M0
P0A8N5,P21889
P0A8N5,P0A8N3
P0A8N5,P0A8N7
P39276,P75742
P39276,P77304
P39276,P36837
P0A9H3,P52095
P0A9H3,P24169
P0A9H3,P21169
P0A9H3,P28629
P0AAE8,P15993
P0AAE8,Q47689
P0AAE8,P0AAE2
P0AAE8,P77400
P0AAE8,P24207
P0AAE8,P0AAF1
P0AAE8,P76037
P0AAE8,P77610
P0AAE8,P63235
P0AAE8,P0AAE5
P0AAE8,P0AA47
P0AAE8,P25737
P0AAE8,P25527
P0AAE8,P45539
P0AAE8,P27837
P0AAE8,P60061
P0AAE8,P39277
P0AAE8,P0AAE0
P0ABN5,P0ABN9
P0AC38,P05042
P39277,P0AAE2
P39277,P77400
P39277,P24207
P39277,P0AAF1
P39277,P76037
P39277,P77610
P39277,P0AAE5
P39277,P0AA47
P39277,P45539
P39277,P60061
P39277,P0AAE8
P39277,P0AAE0
P0A6N4,P0A6N8
P69937,P23895
P69937,P69210
P69937,P69212
P00811,P0AD70
P0AC47,P07014
P00363,P0AC41
P00363,P10902
P0A8N7,P0A8N3
P0A8N7,P0A8N5
P39282,P75835
P39282,P63235
P39282,P42590
P39285,P77338
P0ABC3,P0AA53
P0AF63,P0AGK8
P21499,P30850
P63177,P0AGJ5
P63177,P0AGJ2
P33222,P0ADT5
P0A9W0,P0ACK5
P0A9W0,P76034
P0A9W0,P77721
P0A9W0,P15082
P0A9W0,P52598
P0A9W0,P0ACK8
P0A9W0,P0ACK2
P0A9W0,P32144
P0A9W0,P39361
